FECHA_ENCUESTA;ID_HOGAR;ID_MUNICIPIO;NOM_MUNICIPIO;ID_MACROZONA;NOM_MACROZONA;ID_BARRIO;NOM_BARRIO;ESTRATO_EPM;ID_SIT;NOM_SIT;HOGARES_EN_VIVIENDA;MIEMBROS_HOGAR;MIEMBROS_PRESENTES;TIPO_VIVIENDA;DESC_TIPO_VIVIENDA;VIVIENDA_ES;DESC_VIVIENDA_ES;#CELDAS_PARQUEO;CELDA_PROPIA;CELDA_ALQUILADA;CELDAS_OTRO_TIPO;VEH_EN_HOGAR;TIPO_VEH_1;DES_TIPO_VEH_1;MODELO_VEH_1;MATRICULA_AMVA_VEH_1;DIGITO_PYP_1;TIPO_COMBUSTUBLE_1;DES_TIPO_COMBUSTUBLE_1;TIPO_VEH_2;DESC_TIPO_VEH_2;MODELO_VEH_2;MATRICULA_AMVA_VEH_2;DIGITO_PYP_2;TIPO_COMBUSTUBLE_2;DESC_TIPO_COMBUSTUBLE_2;TIPO_VEH_3;DESC_TIPO_VEH_3;MODELO_VEH_3;MATRICULA_AMVA_VEH_3;DIGITO_PYP_3;TIPO_COMBUSTUBLE_3;DESC_TIPO_COMBUSTUBLE_3;TIPO_VEH_4;DESC_TIPO_VEH_4;MODELO_VEH_4;MATRICULA_AMVA_VEH_4;DIGITO_PYP_4;TIPO_COMBUSTUBLE_4;DESC_TIPO_COMBUSTUBLE_4;TIPO_VEH_5;DESC_TIPO_VEH_5;MODELO_VEH_5;MATRICULA_AMVA_VEH_5;DIGITO_PYP_5;TIPO_COMBUSTUBLE_5;DESC_TIPO_COMBUSTUBLE_5;TIPO_VEH_6;DESC_TIPO_VEH_6;MODELO_VEH_6;MATRICULA_AMVA_VEH_6;DIGITO_PYP_6;TIPO_COMBUSTUBLE_6;DESC_TIPO_COMBUSTUBLE_6;TIPO_VEH_7;DESC_TIPO_VEH_7;MODELO_VEH_7;MATRICULA_AMVA_VEH_7;DIGITO_PYP_7;TIPO_COMBUSTUBLE_7;DESC_TIPO_COMBUSTUBLE_7
19/05/2017;980418;360;Itagui;1;Itagui-Comuna 06;00;.;ESTRATO 1;386;ItaguiItagui-Comuna 05;1;3;2;1;Casa;2;Alquilada;0;FALSO;FALSO;FALSO;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/05/2017;980554;360;Itagui;23;Itagui-Comuna 01;00;.;ESTRATO 3;383;ItaguiItagui-Comuna 01;1;2;2;1;Casa;1;Propia;0;FALSO;FALSO;FALSO;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/05/2017;980589;360;Itagui;3;Itagui-Comuna 04;00;.;ESTRATO 3;380;ItaguiItagui-Comuna 04;1;2;2;1;Casa;1;Propia;0;FALSO;FALSO;FALSO;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/05/2017;980593;360;Itagui;23;Itagui-Comuna 01;00;.;ESTRATO 3;381;ItaguiItagui-Comuna 01;1;2;2;2;Apartamento;1;Propia;2;VERDADERO;FALSO;FALSO;2;02;Automóvil mediano 1300-1800cc;2010;1;3;G;Gasolina;05;Moto 2 tiempos;2015;1;5;G;Gasolina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/05/2017;980661;360;Itagui;2;Itagui-Comuna 05;00;.;ESTRATO 2;651;ItaguiItagui-Comuna 05;1;5;3;1;Casa;1;Propia;0;FALSO;FALSO;FALSO;2;06;Moto 4 tiempos;2011;1;-;G;Gasolina;06;Moto 4 tiempos;2015;1;-;G;Gasolina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/06/2017;980782;360;Itagui;23;Itagui-Comuna 01;00;.;ESTRATO 1;422;ItaguiItagui-Comuna 01;1;4;3;1;Casa;2;Alquilada;0;FALSO;FALSO;FALSO;1;09;Bicicleta sin motor;----;-;-;-;No responde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/05/2017;980817;360;Itagui;2;Itagui-Comuna 05;00;.;ESTRATO 2;651;ItaguiItagui-Comuna 05;1;5;5;1;Casa;2;Alquilada;0;FALSO;FALSO;FALSO;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/05/2017;980841;360;Itagui;1;Itagui-Comuna 06;00;.;ESTRATO 2;386;ItaguiItagui-Comuna 05;1;3;2;1;Casa;1;Propia;0;FALSO;FALSO;FALSO;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/05/2017;980858;360;Itagui;23;Itagui-Comuna 01;00;.;ESTRATO 3;381;ItaguiItagui-Comuna 01;1;3;3;2;Apartamento;2;Alquilada;0;FALSO;FALSO;FALSO;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/05/2017;980947;360;Itagui;23;Itagui-Comuna 01;00;.;ESTRATO 3;383;ItaguiItagui-Comuna 01;1;3;3;2;Apartamento;1;Propia;0;FALSO;FALSO;FALSO;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
